Istuntokauden uudelleenavaaminen	Resumption of the session
Valiokuntaan palauttaminen	Referral back to committee
Ilmoitan jäsen Cashmanin yleisön oikeutta saada tietoja Euroopan parlamentin, neuvoston ja komission asiakirjoista koskevasta mietinnöstä, jonka lainsäädäntöpäätöslauselmaehdotusta koskevaa äänestystä lykättiin 16. marraskuuta 2000, että kansalaisvapauksien ja -oikeuksien sekä oikeus- ja sisäasioiden valiokunta on ilmoittanut, että se ei pysty noudattamaan työjärjestyksen kyseisen säännöksen mukaista kahden kuukauden määräaikaa.	With regard to the report by Mr Cashman on public access to Parliament, Council and Commission documents, for which the vote on the draft legislative resolution was postponed on 16 November, the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs has informed me that it is not yet able to meet the two month deadline laid down in the Rules of Procedure.
Täten valiokunta pyytää mietinnön palauttamista valiokuntakäsittelyyn työjärjestyksen 144 artiklan 1 kohdan mukaisesti.	This is why it has requested that it be referred back to committee pursuant to Rule 144(1) of the Rules of Procedure.
Annan puheenvuoron välittömästi valiokunnan puheenjohtajalle jäsen Watsonille, jotta hän voi esittää pyynnön valiokuntansa puolesta.	I shall now give the floor to Mr Watson, Chairman of this committee, so that he can present the request on its behalf.
. (EN) Arvoisa puhemies, parlamentti suostui ystävällisesti 16. marraskuuta valiokuntamme - jonka puheenjohtaja minulla on kunnia olla - esittämään pyyntöön lykätä lopullista äänestystä jäsen Cashmanin ehdotuksesta lainsäädäntöpäätöslauselmaksi.	Madam President, the House kindly agreed on 16 November to a request from the committee which I have the honour to chair to delay the final vote on Mr Cashman's proposed legislative resolution.
Tuon lykkäyksen tarkoituksena oli antaa muille toimielimille aikaa harkita tarkistuksiamme ja komissiolle aikaa muotoilla tarkistettuja ehdotuksia.	That delay was intended to allow time for the other institutions to consider our amendments and for the Commission to formulate amended proposals.
Marraskuun istuntomme jälkeen olemme olleet yhteydessä muihin toimielimiin, mutta tähän mennessä sopimusta ei ole syntynyt.	Since our November part-session, we have had contacts with the other institutions, though as yet no agreement has been forthcoming.
Sen vuoksi pyytäisimme parlamenttia lykkäämään äänestystä edelleen enintään kahdella kuukaudella, jotta vuoropuhelu saataisiin päätökseen ja jotta, kuten toivomme, teille voitaisiin esittää kompromissitarkistukset äänestystä varten istunnossamme 28. helmikuuta.	Therefore, we would ask the House for a prorogation of the delay of a maximum of two months in order to conclude the dialogue and, we hope, present to you compromise amendments for voting at our part-session on 28 February.
(Parlamentti hyväksyi pyynnön.)	(Parliament approved the request)
Käsittelyjärjestys	Agenda
Esityslistalla on seuraavana lopullisen esityslistaluonnoksen käsittely sellaisena kuin puheenjohtajakokous on sen 11. tammikuuta laatinut työjärjestyksen 111 artiklan mukaisesti.	The next item is the final draft agenda as drawn up by the Conference of Presidents at its meeting of Tuesday 11 January.
Istunnot 15.18. tammikuuta 2001 Puhemies.	Sittings from 15 to 18 January in Strasbourg President.
Maanantaihin, tiistaihin ja keskiviikkoon ei ole ehdotettu muutoksia.	I have received no requests for amendments to the agenda for Monday, Tuesday or Wednesday.
Arvoisa puhemies, haluaisin huomauttaa kollegoilleni ja teille vaikka ymmärränkin, miksi olette ottanut keskiviikon esityslistalle niin paljon asioita siitä, että niitä poliittisia aiheita varten, joista keskustellaan klo 9.0016.00, neuvostolle ja komissiolle on varattu täsmälleen saman verran puheaikaa kuin kaikille parlamentin jäsenille: 90 minuuttia neuvostolle ja komissiolle ja 90 minuuttia parlamentin jäsenille.	Madam President, I would like to point out to my fellow Members and to yourself, that, whilst I understand the reasons which led you to go over the top and set such a full agenda for Wednesday, with regard to the political topics due to be discussed between 9 a.m. and 4 p.m., the Council and the Commission have exactly the same speaking time as all the Members of the European Parliament, i.e. 90 minutes for the Council and the Commission and 90 minutes for the MEPs.
Tästä haluan huomauttaa, ja olen pahoillani, sillä tiedän, että meillä on keskiviikkona paljon käsiteltäviä asioita, mutta yrittäkäämme kuitenkin tehdä tähän muutos, sillä parlamentissa käytävän keskustelun pitäisi sentään olla toimielimiä tärkeämpi.	I am sorry to have to point this out, as I know we have a very busy day on Wednesday, but let us try to change this, as, after all, parliamentary debate should take precedence over the institutions.
Kiitos, jäsen Dell'Alba.	Thank you, Mr Dell' Alba.
Merkitsen mielelläni huomautuksenne muistiin.	I will, of course, take note of your comment.
Arvoisa puhemies, haluaisin jatkaa kollega Dell'Alban puheenvuoron aiheesta ja sanoa myös jotain keskiviikosta.	Madam President, I would like to take up some points made by Mr Dell'Alba and also say something about Wednesday' s sitting.
Keskiviikon ohjelma ei ole ainoastaan aivan liian tiivis, vaan lisäksi silloin käsitellään tärkeitä mietintöjä ilman keskustelua, muun muassa Sjöstedtin elinympäristöä käsittelevää mietintöä, mikä on mielestäni merkillistä.	Not only is Wednesday' s agenda completely overbooked, but important reports - such as the Sjöstedt report on natural habitats, as well as others - are being handled without debate, which is wrong to my mind.
Tämä johtuu tietysti onnettomasta väärästä päätöksestä lakkauttaa perjantain istunnot, mistä haluan tässä huomauttaa.	This can be put down to the disastrous decision to cancel Friday sittings, which I would like to take this opportunity to highlight.
Arvoisa puhemies, pyysin puheenvuoroa esittääkseni huomion, joka koskee tiistaina käytävää kalastusta koskevaa yhteiskeskustelua.	Madam President, I have requested the floor in order to speak about Tuesday' s joint debate on fisheries.
Tiistaina on aiottu käydä tärkeä keskustelu, ja puheenjohtajakokous on päättänyt lisätä esityslistalle komission julkilausuman Marokon kalastussopimuksesta ilman päätöslauselmaa.	A major debate has been scheduled for that day and the Conference of Presidents has decided to include a Commission statement on the Fisheries Agreement with Morocco without a resolution.
Kuten tiedätte, tämä on hyvin arkaluonteinen kysymys, ja haluaisin pyytää teitä vähän selventämään sitä, sillä tämän asian lisääminen esityslistalle saattaa hieman vääristää yleistä keskustelua.	As you know, this is a very sensitive issue and I would ask you to clarify a few things, as the inclusion of this issue may somewhat distort the overall debate.
Pyydän teitä ensinnäkin kertomaan minulle, kenen ehdotuksesta julkilausuma on otettu esityslistalle, eli pyysikö sitä itse komissio vai jokin poliittinen ryhmä.	I would ask you first of all to state at whose behest this was included, in other words, whether it was the Commission itself that made the request or one of the political groups.
Toiseksi, esityslistan mukaisesti toimittaisiin tavallisesti siten, että ensin käytäisiin näitä neljää mietintöä koskeva yhteiskeskustelu ja sen jälkeen komissio esittäisi julkilausuman, jonka jälkeen käytäisiin sitä koskeva keskustelu.	Furthermore, in accordance with the debate' s agenda, the normal course of action would be for the joint debate on the four reports to take place and then for the Commission' s statement to be made and a further debate on this to take place.
Koska kuitenkin näyttää siltä, ettei tämä ole enää mahdollista, sillä poliittiset ryhmät ovat jo jakaneet parlamentin jäsenten puheajat, pyydän, että tässä tapauksessa komission julkilausuma esitettäisiin ensin, jotta me parlamentin jäsenet voisimme osallistua keskusteluun ja jotta komission julkilausumaa ei tarvitsisi esittää kesken keskustelun, sillä muuten kaikilla parlamentin jäsenillä ei olisi samoja mahdollisuuksia vastata tähän komission julkilausumaan.	Since it no longer appears possible for events to take place in this way, because the political groups have already distributed Members' speaking times, I would ask that, in this case, the Commission statement should be the first item so that Members may speak in the debate and so that the Commission statement is not made in the middle of the debate, which would prevent all Members from being in an equal position to respond to this statement by the Commission.
Arvoisa puhemies, vastaan oikein mielelläni.	Madam President, I shall be delighted to reply to Mr Varela Suanzes-Carpegna.
Sosiaalidemokraattien ryhmä pyysi tätä komission julkilausumaa. Voi olla, että jokin toinenkin ryhmä kannatti tätä pyyntöä.	The Socialist Group requested this Commission statement - I do not know if any of the other groups made the same request.
Syy on hyvin yksinkertainen: viime päivinä olemme nähneet, miten komission jäsen Fischler on keskeyttänyt keskustelut suorassa televisiolähetyksessä; puheenjohtaja Prodi en tiedä, onko hän vielä Marokossa teki uuden ehdotuksen ja käynnisti neuvottelut uudelleen; myös eräät maatalous- tai kalastusministerit muun muassa espanjalainen ministeri sanoivat asiasta mielipiteensä, ja on hyvä, että voimme keskustella tästä kysymyksestä ja olla niin hyvin asian tasalla emme pyydä päätöslauselmaa ainakin televisiota katselemalla.	We did so for a very simple reason: in the last few days we have seen Commissioner Fischler suspend negotiations on live television; Mr Prodi - I do not know if he is still in Morocco - has submitted a new proposal and restarted negotiations; some Ministers for Agriculture or Fisheries, including the Spanish Minister, have also made statements, and it makes sense that we should be able to debate this issue and that we should be at least as well informed - we are not asking for a resolution - as television newsreaders.
Nyt on todellakin kaikkein otollisin hetki esittää tämä komission julkilausuma, sillä nyt keskustelemme neljästä mietinnöstä, joissa käsitellään kalastuspolitiikan tulevaisuutta.	This really is the most appropriate time, when we are discussing the future of our fisheries policy on the basis of four reports, for the Commission to make this statement.
Tämän vuoksi sosiaalidemokraattien ryhmä pyysi julkilausumaa.	This is the thinking that led the Socialist Group to make this request.
Kiitos, jäsen Barón Crespo.	Thank you, Mr Barón Crespo.
Jäsen Varela, Barón Crespo antoi teille juuri vastauksen.	Mr Varela, Mr Barón Crespo has given you your answer.
Pyynnön oli esittänyt Euroopan sosiaalidemokraattien ryhmä, mutta voin sanoa, että koko puheenjohtajakokous antoi sille suostumuksensa.	The request was made by the Group of the Party of the European Socialists, but I can inform you that it was approved unanimously by the Conference of Presidents.
Arvoisa puhemies, pyysin selventämään asiaa; en todellakaan aio keskustella siitä, annetaanko komissiolle mahdollisuus esittää julkilausuma vai ei, koska se on selvästikin annettava sille.	Madam President, I asked for clarification; I have absolutely no intention of arguing about the appropriateness of a Commission statement. It clearly is appropriate.
Haluan tehdä selväksi, että me kannatamme julkilausuman esittämistä, ja uskoakseni myös poliittiset ryhmät kannattivat sitä puheenjohtajakokouksessa.	I want to make it clear that we support it, and I believe that it was also supported in the Conference of Presidents of political groups, but today I have a meeting with the Committee on Fisheries, an extraordinary meeting, and this issue will logically be dealt with.
Osallistuin kuitenkin tänään kalatalousvaliokunnan kokoukseen se on ylimääräinen kokous ja tätä asiaa tullaan varmasti kysymään siellä.	As Chairman of that committee, I wanted to have all the information so that I could communicate it to the other committee members.
Valiokunnan puheenjohtajana haluaisin tietenkin saada kaiken mahdollisen tiedon, jotta voin kertoa sen myös kollegoilleni.	The statement is therefore welcome. In no way do we oppose it.
Näin ollen pidän tämän julkilausuman esittämistä erittäin myönteisenä asiana; sitä ei vastusteta lainkaan, päinvastoin; myös ryhmämme kannattaa sitä.	Far from it. Our group has also supported it.
Jotta keskustelu voitaisiin käydä asianmukaisesti mistä kannan eniten huolta, koska tämä kysymys saattaisi vääristää niitä neljää erittäin tärkeää kalastusta koskevaa keskustelua, jotka aiomme pitää olisi parasta toimia kuten aiemminkin ja sijoittaa julkilausuma tämän keskustelun jälkeen. Näin ollen meille jäisi aikaa keskustella kysymyksestä julkilausuman jälkeen, vaikka luulenkin, ettei se ehkä ole mahdollista.	So that the debate may be held in an ordered fashion, which is what most concerns me, because this issue could distort the four important fisheries debates which we have on the agenda, it would be normal for this statement to be made after that debate, and that would then give us time to continue discussing this issue, although it seems that that will not be possible.
Asiasta vastaava yksikkö oli ilmoittanut minulle, että puheenvuorot esitettäisiin seuraavassa järjestyksessä: ensin puhuisivat neljä mietintöjen esittelijää ja sen jälkeen olisi komission vuoro esittää julkilausuma.	The competent services had informed me that the order of interventions would be as follows: firstly the four rapporteurs of the reports, and then the Commissioner would be given the floor to make the aforementioned statement.
Tässä tapauksessa esittelijät eivät voisi vastata komissiolle yhteisessä keskustelussa.	In that case, the rapporteurs would not be able to reply to the Commissioner during the joint debate.
Pyydän siis sitä, että ensin esitettäisiin komission julkilausuma ja sen jälkeen jäsenet voisivat esittää puheenvuoroja, jotta kaikilla jäsenillä olisi samat mahdollisuudet kuulla komission jäsenen esittämä julkilausuma ja esittää sitä koskevia kysymyksiä.	What I therefore ask is that the Commission statement be made first and that then the speakers should take the floor, so that everybody might have the same right as MEPs to hear, and be able to reply to, the statement by the Commissioner.
Arvoisa puhemies, haluaisin ilmoittaa jäsen Varela Suanzes-Carpegnalle, että tämä oli puheenjohtajakokouksen päätös, mutta huomaan, että asiasta vastaava yksikkö onkin jo kertonut tämän hänelle.	Madam President, I wish to inform Mr Varela Suanzes-Carpegna that these are the terms of the Conference of Presidents, but I see that the relevant services have already explained this to him.
Ajatuksena oli poliittisten ryhmien puheenjohtajien enemmistön pyynnöstä että ensin puhuisivat mietintöjen neljä esittelijää ja että sen jälkeen komission edustaja esittäisi puheenvuoron.	The idea - at the request of most group Chairmen - was that the four rapporteurs would speak first, and then the representative of the Commission would follow.
Näin tehtiin puheenjohtajakokouksessa, jossa minulla oli kunnia edustaa teitä, arvoisa puhemies.	This was what happened in the Conference of Presidents, at which I had the honour of representing you, Madam President.
Jäsen Varelan pyyntö on toinen asia.	Mr Varela' s request is out of place.
Arvoisa puhemies, haluaisin sanoa muutamalla sanalla, minkä vuoksi ryhmäni on tehnyt tämän ehdotuksen, joka liittyy siihen, mistä on erityisesti ranskalaisen lehdistön perusteella kehittymässä Danonen tapaus.	Madam President, I would like to explain very briefly why my group has tabled this motion which, relates to what is becoming known, in the French newspapers in particular, as the Danone case.
Tämä kysymys on tärkeä, ja sen merkitys ulottuu pelkkää yritysryhmittymää laajemmalle.	This is an important issue that goes beyond the limits of responsibility of one group.
Kyse on tässä tapauksessa sellaisen suuren elintarvikealan yritysryhmittymän politiikasta, joka on tuottanut viime aikoina taloudellista voittoa, jota itse ryhmittymän johtaja luonnehtii erinomaiseksi, mutta samanaikaisesti yritysryhmittymä on kuitenkin päättänyt sanoa irti 3000 työntekijää ja sulkea useita yrityksiä Euroopan unionin eri jäsenvaltioissa.	As it happens, it concerns the policy of a large food processing company which has recently achieved financial results described by the president of the company himself as excellent, and which, at the same time, decided to shed 3 000 jobs and to close several sites in various Member States of the European Union.
Mielestäni emme voi toimia niin, että yhtäältä teemme täystyöllisyydestä Euroopan unionin toiminnan pääasiallisen tavoitteen ja laadimme eurooppayhtiön perussäännön, jossa säädetään työntekijöiden uusista oikeuksista, ja toisaalta emme reagoi tällaiseen strategiaan, jossa osakkeenomistajia koskevat säännöt menevät kaikkien muiden näkökohtien edelle.	It seems to me that we cannot, on the one hand, make full employment a priority for European Union action and work on drafting a European Company Statute to lay down new rights for employees and, on the other hand, calmly accept this type of strategy, which puts the interests of shareholders before everything.
Tämän vuoksi ehdotan, että tätä tapausta käsiteltäisiin kiireellisenä.	This is why I propose an urgent debate on this matter.
Arvoisa puhemies, ryhmäni äänestää tämän ehdotuksen puolesta, sillä kuten jäsen Wurtz juuri perusteli, tämä kysymys ei koske ainoastaan Ranskaa, vaan se koskee koko Eurooppaa, koska Groupe Danone on merkittävä yritysryhmittymä ja koska monessa maassa ehdotetuilla toimilla on merkittäviä seurauksia.	Madam President, my group will be voting in favour of this proposal because, to take up Mr Wurtz' s arguments, this is not just a French issue, but a European issue, both because of the size of the Danone Group and because of the potential repercussions of the measures proposed in various countries.
Lisäksi, koska Nizzan sopimuksessa hyväksyttiin eurooppayhtiön perussääntö, olemme sitä mieltä, että tämä aihe on erittäin ajankohtainen ja että se liittyy myös Ruotsin puheenjohtajakauteen.	Furthermore, because the European Company Statute has been approved by the Treaty of Nice, we feel that this is an extremely topical issue and one that also needs to be addressed by the Swedish Presidency.
Kun otetaan huomioon, että ryhmässäni on noussut esille myös muiden auto- ja terästeollisuuden aloilla toimivien Euroopan laajuisten ja jopa maailmanlaajuisten monikansallisten yhtiöiden tilanne, täytyisi tätä kysymystä mielestämme pohtia työllisyys- ja sosiaalivaliokunnassa tarkkaan.	Bearing in mind the fact that my group has also brought up the situation of other multinational companies that operate across Europe or even worldwide in the car and steel manufacturing sectors, we feel that this issue should be given substantial consideration in the Committee on Employment and Social Affairs.
Joitakin asioita voitaisiin kenties muuttaa, sillä tämä asia on sen verran tärkeä, että sitä kannattaa kyllä pohtia hyvin perusteellisesti ja yksityiskohtaisesti.	Maybe this could replace another item, because the issue is serious enough to warrant a more in-depth and detailed study.
Arvoisa puhemies, emme epäile, etteikö tässä olisi kyse tärkeästä asiasta, mutta tällaistahan tapahtuu vähän väliä.	Madam President, we do not doubt that it is an important issue we are discussing here, but this is something that crops up time and again.
Aikaisemmin olemme aina päässeet yhteisymmärrykseen siitä, että käsittelemme tällaisia tapauksia suhteellisen perusteellisessa keskustelussa.	In the past, we always agreed that we would deal with such issues as part of a more comprehensive debate.
Kiireellinen käsittely ei ole siis paikallaan, varsinkaan, kun pois jätettäväksi suunniteltu aihe on myös tärkeä.	It is therefore inappropriate to invoke the urgent procedure, particularly as the issue which is to be left off the agenda, is so important.
Lisäksi haluaisin huomauttaa, että asiastahan äänestettiin jo puheenjohtajakokouksessa - en tosin itse voinut osallistua puheenjohtajakokoukseen puolueemme Euroopan kansanpuolueen kokouksen vuoksi, joten minua edusti kollegani James Provan. Asiaa ei näin ollen ole tarpeen ottaa uudestaan esille.	I would also like to point out - although I was unable to participate in the Conference of Presidents in person, owing to our European People' s Party Congress, my colleague, James Provan, was there to represent me - that the issue has already been voted on in the Conference of Presidents and so there is no need for it to be raised once again.
Vastustamme tämän asian käsittelyä kiireellisenä.	We are against invoking the urgent procedure on this issue.
Arvoisa puhemies, ensinnäkin jäsen Poetteringin erehdys voidaan antaa anteeksi, sillä hän ei ollut läsnä.	Madam President, first of all, Mr Poettering can be forgiven for his mistake since he was absent.
Sanon kuitenkin teille, jäsen Poettering, että puheenjohtajakokous ei todellakaan äänestänyt tämän ehdotuksen puolesta eikä sitä vastaan. Minulle ehdotettiin, että esittäisin tämän ehdotuksen täysistunnossa, ja niin minä myös tein.	However, Mr Poettering, I would like to tell you that the Conference of Presidents certainly did not vote for or against this motion and it was suggested that I should table this motion in Parliament, which I have done.
Barón Crespon ehdotuksesta sanoisin, että olen täysin samaa mieltä siitä, että koko tämä ongelma eli Danonea ja muita vastaavia tapauksia koskeva kysymys annetaan työllisyys- ja sosiaalivaliokunnan käsiteltäväksi, jotta asiasta voitaisiin keskustella sen jälkeen laajemmin.	Regarding the proposal by Mr Barón Crespo, I am in complete agreement with the proposal to refer the whole matter, i.e. Danone and similar situations, to the Committee on Employment and Social Affairs so that we can then conduct a more general debate on this.
En halua välttämättä käsitellä tätä asiaa kiireellisenä, mutta haluan kyllä, että tämä merkittävä ongelma otetaan käsiteltäväksi, sillä se herättää paljon levottomuutta maittemme kansalaisissa ja se todellakin koskee koko Euroopan unionia.	I do not necessarily wish that this be treated as an urgent topic, but I do think that we should take note of this grave inconsistency which is stirring up considerable feeling amongst the general public in all our countries, and which, in actual fact, concerns the European Union.
Jos kollegani ovat siis samaa mieltä, kannatan ehdottomasti sitä, että asia annetaan sosiaalivaliokunnan käsiteltäväksi.	Therefore, if all Members are in agreement, I would certainly wish to refer this matter to the Committee on Employment and Social Affairs.
Jäsen Wurtz, voinko siis päätellä tästä, että perutte alkuperäisen pyyntönne korvata ajankohtaiskeskustelun kohta 5 tällä kohdalla?	Mr Wurtz, should I assume then that you wish to withdraw the current proposal to replace item 5 in the debate on topical and urgent subjects of major importance with this point?
Näyttääkö Barón Crespon ehdotus saavan laajan enemmistön kannatus?	May I conclude that there is broad consensus on Mr Barón Crespo' s proposal?
Kyllä, näin näyttää olevan.	I can see that this is the case.
Haluaako joku Euroopan kansanpuolueen ryhmän jäsen esitellä pyynnön korvata tämä kohta uudella kohdalla "Algerian tilanne"?	Does any Member of the Union for a Europe of Nations Group wish to present the request to replace the item with "Situation in Algeria" ?
Arvoisa puhemies, muistutitte meitä juuri niistä hirvittävistä asioista, jotka ovat meille tuttuja ja jotka liittyvät terrorismiin.	Madam President, you mentioned earlier the horrors that have been reported, which are related to terrorism.
UEN-ryhmä oli kuitenkin toivonut, että parlamentti voisi keskustella Algerian tilanteesta kiireellisesti.	Consequently, the Union for a Europe of Nations Group wanted the House to be able to hold an urgent debate on the situation in Algeria.
Viime viikolla saatoimme kaikki nähdä televisiossa sietämättömiä kuvia maassa juuri tehdyistä murhista. Tekijöitä olivat islamilaisterroristit, jotka koettelevat kauhun rajoja lakkaamatta.	Last week, we were all able to witness the television broadcasts of the unbearable images of recent massacres carried out in Algeria by Islamist terrorists who keep pushing back the limits of atrocity.
Emme siis voisi ymmärtää sitä, että parlamentti, joka on hyvin tarkka ihmisoikeuksia koskevissa asioissa, pysyisi vaiti tämän tapahtuman jälkeen, joka on jälleen uusi esimerkki fanaattisesta mielettömyydestä.	We cannot, therefore, understand why Parliament, which is always so particular on human rights issues, should remain silent following further evidence of fanatical madness.
Päätös keskustella tästä asiasta antaisi meille mahdollisuuden vahvistaa jälleen, että kaikki ne toimet, joiden avulla Pohjois-Afrikan maissa, erityisesti Algeriassa, on ryhdytty käymään armotonta taistelua lasten murhaajia ja heidän rikoskumppaneitansa vastaan, saavat Euroopan parlamentin jäseniltä voimakkaan kannatuksen.	Holding this debate would allow us to reaffirm that all the measures that have been adopted in North African countries, Algeria in particular, to fight relentlessly against child murderers and their accomplices have the overwhelming support of the Members of the European Parliament.
Olemme sitä mieltä, että velvollisuutenamme on osoittaa Algerian kansalle myötätuntoamme ja solidaarisuuttamme ja rohkaista Algerian hallitusta toteuttamaan tässä asiassa Euroopan parlamentin tuella sellaista politiikkaa, jota kansalaisten murskaava enemmistö siltä odottaa. Algerian kansalaiset eivät nimittäin totu meitä paremmin siihen sokeaan väkivaltaan, joka runtelee heidän maataan.	We see it as our duty to send the Algerian people a message of our sympathy and solidarity and to encourage the Algerian Government to implement, with the support of the European Union, the policy in this area that is awaited by the vast majority of its citizens, who, like us, are not used to this indiscriminate violence that is ruining their country.
Mielestäni jokainen, jolla on ollut mahdollisuus vierailla Algeriassa viime kuukausien ja viime vuosien aikana, voi ymmärtää paremmin, mikä vaikutus tällä kauhistuttavalla terrorismilla on Algerian kansaan, ja olen todellakin sitä mieltä, että voisimme olla ylpeitä siitä, että käsittelemme tätä ongelmaa kiireellisesti.	I believe that anyone who has had the opportunity to visit Algeria during recent months or years can make a better assessment of what this terrible outbreak of terrorism means to the Algerian people and, indeed, I believe that it would be to our credit if we dealt with this issue in an urgent debate.
Pidän tätä siis hyvänä ehdotuksena.	I therefore believe that this is a good suggestion.
Arvoisa puhemies, on suuri ongelma, että maailmassa tapahtuu niin paljon.	Madam President, the big problem is that so much is happening on the world stage.
Kun tarkastelee yksittäisiä tapauksia, alkaa ihmetellä, miksi niitä ei aseteta ensisijaisiksi painopisteiksi.	Looking at the instances individually, we wonder why they are not given the highest priority.
Tämä pätee Algeriaan.	This is the case for Algeria.
Toisaalta olemme tekemisissä viisumipakon kanssa, jonka Venäjä on asettanut yksipuolisesti Georgialle 5. joulukuuta 2000.	But then there is also the visa obligation which Russia has unilaterally imposed on Georgia since 5 December 2000.
Kaikki ne, jotka tuntevat koko alueen tilanteen, tietävät, että tilanne on tulenarka ja että voimme siten jälleen odottaa, että konfliktit tällä alueella lisääntyvät.	Whoever is acquainted with the situation across the entire region, knows that this is a burning issue, and we can thus expect conflicts to flare up once again.
Parlamentaarinen sekavaliokuntamme on pyytänyt painokkaasti kiinnittämään huomiota siihen, että tämä aihe otettaisiin täällä aikaisemmin käsiteltäväksi.	Our parliamentary committee has explicitly asked to prioritise this topic, which was shelved last time.
